fid,GRID_CODE,DATA_INCEN,CODI_FINAL,MUNICIPI,XMIN,XMAX,YMIN,YMAX,ANY,AREA
"1","2",07/02/00,"2000250012",La Guingueta d'Àneu,1.1372874263,1.14507980682,42.6205902232,42.6325,"2000",0.410001272274505
"2","2",13/03/02,"2002250044",El Pont de Suert,0.71765173061,0.73140764327,42.4297043507,42.4368,"2002",0.43937637505679
"3","2",05/04/10,"2010250091",Albesa,0.61378069767,0.62065929771,41.7709058686,41.7787,"2010",0.176250550948349
"4","2",11/11/13,"2013170102",Vilopriu,2.98128947364,3.01740701488,42.0337172554,42.1187,"2013",7.33691615456563
"5","2",24/06/06,"2006430038",Montblanc,1.11050546614,1.13456515119,41.3821406243,41.3952,"2006",0.294833492319678
"6","2",07/04/00,"2000080098",Sant Llorenç Savall,2.043485124,2.05227562345,41.6867191651,41.6932,"2000",0.286250889642639
"7","2",12/10/97,"4397095",Mont-Roig del Camp,0.93247296935,0.94022936186,41.0374000761,41.0429,"1997",0.202500629463966
"8","2",19/07/86,"178600064",La Jonquera,2.82335228982,3.12617497458,42.3038077714,42.467,"1986",152.229172680875
"9","2",28/06/89,B89007008,SANT MATEU DE BAGES,1.72190384578,1.72825218868,41.8343395507,41.8382,"1989",0.121250379813912
"10","2",30/03/05,"2005430090",RiudecANYTXTes,0.95767171229,0.96938623589,41.1336127654,41.1413,"2005",0.415001289487108
"11","2",29/07/00,"2000080203",Olèrdola,1.75346370892,1.7801081614,41.3335758473,41.3487,"2000",0.8537526817825
"12","2",09/02/00,"2000430110",Cabra del Camp,1.28930290197,1.3004345152,41.3962789008,41.4021,"2000",0.286875882455163
"13","2",26/07/17,"2017080144",Bellprat,1.44706999947,1.45586299952,41.495629,41.5014,"2017",0.22839481833151
"14","2",13/05/05,"2005430098",Bonastre,1.4470959127,1.4491835533,41.2386356247,41.2423,"2005",0.0400001223774567
"15","2",06/07/86,"438600284",Vilaverd,1.10368359209,1.20535964082,41.2757354145,41.364,"1986",32.4631007008423
"16","2",26/07/15,"2015080225",Òdena,1.66320707128,1.75911488562,41.620782295,41.6604,"2015",12.6320691485722
"17","2",13/02/97,"4397002",L'Espluga de Francolí,1.12880189411,1.13868040951,41.4125581843,41.4193,"1997",0.235868991034205
