CODI_FINAL,DATA_INCEN,GRID_CODE,MUNICIPI,AREA,AREAKM2,XMIN,YMIN,XMAX,Y_MAX
4394035,24/03/94,2,Móra d'Ebre,182170.138,0.182,0.603961,41.122383,0.610549,41.127740
2001250083,22/12/01,2,Espot,121414.210,0.121,1.120146,42.574421,1.127778,42.578081
2005250063,20/03/05,2,Les Valls d'Aguilar,210963.749,0.211,1.331914,42.291956,1.340485,42.297764
894414,24/08/94,2,Castelledefels,241818.253,0.242,1.961855,41.288733,1.969596,41.294376
2003080293,13/08/03,2,Tordera,10099567.310,10.100,2.702462,41.719882,2.755350,41.773056
2000430111,01/03/00,2,Albiol i Alcover,6213050.624,6.213,1.100419,41.235514,1.167416,41.262502
2008250093,06/05/08,2,Torres de Segre,196519.023,0.197,0.519065,41.544653,0.533850,41.552361
920800034,14/04/92,2,Gavà,110259.177,0.110,1.977051,41.301384,1.985998,41.304372
2594142,23/08/94,2,El Pont de Suert,153940.385,0.154,0.818769,42.381622,0.825142,42.386116
894228,04/07/94,2,Castellterçol,396868.426,0.397,2.103051,41.739547,2.111424,41.751696
1998080180,19/07/98,2,Cardona,86843370.320,86.843,1.463163,41.886947,1.659478,41.986457
924300102,03/10/92,2,Calafell,913742.220,0.914,1.594836,41.207182,1.616601,41.218916
2002170100,12/10/02,2,Roses,363254.503,0.363,3.192433,42.255824,3.201534,42.264160
894515,04/07/94,2,Sant Mateu de Bages,160772779.900,160.773,1.638083,41.748144,1.878986,41.961085
2006430038,24/06/06,2,Montblanc,295389.162,0.295,1.110505,41.382141,1.134565,41.395215
894538,23/08/94,2,Prats de Lluçanès,2321361.365,2.321,2.012494,41.977423,2.041988,41.999199
L90023010,05/08/90,2,ÀGER,143948.486,0.144,0.746758,41.937770,0.754514,41.942625
2013430115,14/08/13,2,Aiguamúrcia,685447.357,0.685,1.411459,41.381169,1.421074,41.395290
2016250033,19/07/16,2,Ribera d'Ondara,1046909.259,1.047,1.353204,41.608305,1.365975,41.631428
2594068,10/06/94,2,Artesa de Lleida,156488.740,0.156,0.703783,41.527617,0.715400,41.534248
2001080222,02/08/01,2,La Garriga,129667.496,0.130,2.285730,41.701776,2.290794,41.708557
2001170061,19/06/01,2,Torroella de Montgrí,3407354.139,3.407,3.140490,42.079344,3.167699,42.102544
2006080093,07/07/06,2,Castellnou de Bages,179117.361,0.179,1.804296,41.811885,1.810628,41.819352
2016250055,29/10/16,2,La Guingueta d'Àneu,6330397.583,6.330,1.094888,42.651130,1.153124,42.683421
G90031005,30/03/90,2,PARDINES,157809.392,0.158,2.228279,42.311291,2.234638,42.316244
T0870049,17/08/87,2,La Morera de Montsant,5836620.414,5.837,0.778457,41.231288,0.814850,41.271349
2000250003,19/01/00,2,Espot,162718.121,0.163,1.094815,42.570891,1.104999,42.576456
B89003034,31/07/89,2,FONT-RUBÍ,435628.937,0.436,1.612196,41.447381,1.623442,41.457904
2594176,22/08/94,2,Àger,83231.980,0.083,0.666978,42.006630,0.670672,42.010673
2005430005,05/03/05,2,El Perelló,1040003.819,1.040,0.689474,40.859746,0.709053,40.872088
2008250042,14/02/08,2,Bossòst,1355662.992,1.356,0.662194,42.789811,0.695485,42.801588
930800281,18/08/1993,2,Sant Fost de Campsentelles,121534.007,0.122,2.240945,41.503420,2.246100,41.509492
T0870051,18/08/87,2,Sarral,3019107.984,3.019,1.263627,41.437654,1.300511,41.458968
894368,14/07/94,2,Viladecans,203627.489,0.204,1.987378,41.318263,1.995056,41.324339
2006170166,07/08/06,2,Palau de Santa Eulàlia,192909.706,0.193,2.975016,42.169132,2.980770,42.181290
2005080302,26/06/05,2,Martorell,182912.341,0.183,1.920868,41.464702,1.927177,41.470581
1998080113,22/06/98,2,Gaià,334584.994,0.335,1.914650,41.908857,1.923515,41.921896
2009250089,17/07/09,2,Agramunt,49942082.770,49.942,1.090198,41.804195,1.340001,41.864843
1999430041,22/02/99,2,El Montmell,180387.199,0.180,1.530409,41.328809,1.543124,41.337235
931700042,22/07/93,2,El Port de la Selva,4844733.918,4.845,3.234519,42.291721,3.275203,42.324743
2003080195,13/07/03,2,Castellvell i el Vil.lar,3714800.428,3.715,1.816250,41.645411,1.850787,41.673506
2005430129,10/04/05,2,Cunit,263092.142,0.263,1.630104,41.204051,1.639202,41.213918
2016080232,19/09/16,2,Barcelona,212864.801,0.213,2.161619,41.444416,2.167683,41.451694
B91013009,21/07/91,2,Barcelona,773690.838,0.774,2.083501,41.387039,2.100875,41.394518
T89008001,03/03/89,2,RIUDECANYES,588606.075,0.589,0.955099,41.146882,0.966364,41.158869
894508,04/07/94,2,Montmajor,229643349.800,229.643,1.671723,41.937355,2.036029,42.115259
2013170102,11/11/13,2,Vilopriu,7352870.079,7.353,2.981289,42.033717,3.017407,42.118688
2007080187,07/07/07,2,Santa Maria d'Oló,119023.250,0.119,2.013784,41.875960,2.020716,41.880051
931700126,13/09/93,2,Santa Coloma de Farners,1338022.624,1.338,2.698964,41.848466,2.723625,41.862657
1998250077,20/07/98,2,Castelló de Farfanya,247214.334,0.247,0.669416,41.814142,0.676748,41.819590
2005430092,30/04/05,2,La Palma d'Ebre,1516140.530,1.516,0.620280,41.262045,0.643752,41.288489
B90013007,27/07/90,2,BARCELONA,187011.129,0.187,2.156617,41.446410,2.164716,41.451025
2002250044,13/03/02,2,El Pont de Suert,439877.949,0.440,0.717652,42.429704,0.731408,42.436831
1999250004,06/02/99,2,Tremp,194632.001,0.195,0.801551,42.165862,0.810950,42.169139
2002080116,11/07/02,2,Castellbisbal,1266596.433,1.267,1.928137,41.484193,1.947163,41.502347
L91004012,21/07/91,2,Ribera d'Urgellet,115815.728,0.116,1.407421,42.291624,1.414719,42.294533
T91012004,29/07/91,2,Sant Jaume dels Domenys,82678.064,0.083,1.534407,41.315890,1.538911,41.318821
2007080014,10/03/07,2,Cabrera de Mar,116044.287,0.116,2.382299,41.520100,2.389848,41.525914
L91023017,20/08/91,2,Camarasa,165244.243,0.165,0.876448,41.927559,0.884442,41.934421
2011170017,12/05/11,2,Sant Climent Sescebes,91434.199,0.091,2.957243,42.405451,2.961804,42.411304
4394128,12/08/94,2,Vandellós-Hospitalet de l'Infant,130746.736,0.131,0.838589,40.937638,0.848684,40.941839
894469,11/08/94,2,Badalona,6903450.479,6.903,2.220876,41.476387,2.292835,41.504416
2000170017,10/02/00,2,Toses,528876.710,0.529,2.014350,42.321458,2.030794,42.329731
178600061,19/07/86,2,Vilademuls,1546803.710,1.547,2.851949,42.130060,2.872293,42.149771
2000430094,13/08/00,2,Prat del Comte,2584919.947,2.585,0.357879,40.974280,0.389527,40.993812
2014250067,17/03/14,2,Les,140134.208,0.140,0.704416,42.823508,0.712048,42.827649
931700088,29/08/93,2,Roses,12676606.620,12.677,3.176971,42.253988,3.251094,42.303788
T91030005,22/07/91,2,Miravet,6324655.790,6.325,0.535991,41.023760,0.586800,41.054682
922500024,21/03/92,2,Alins,486329.267,0.486,1.260609,42.551500,1.271362,42.560254
1998430098,30/07/98,2,Pontils,703802.871,0.704,1.360168,41.466924,1.372270,41.479939
2009430121,07/11/09,2,Sant Jaume dels Domenys,1013464.393,1.013,1.532652,41.311943,1.554848,41.321980
438600302,28/07/86,2,Montblanc,1488816.007,1.489,1.211985,41.347828,1.231561,41.372105
2014430108,15/05/14,2,Aiguamúrcia,405993.476,0.406,1.364890,41.375992,1.376858,41.383115
2012430136,12/07/12,2,VILAVERD,372595.537,0.373,1.168369,41.341696,1.177066,41.353980
B90011022,05/08/90,2,OLESA DE MONTSERRAT,1734516.829,1.735,1.889544,41.561626,1.918828,41.576280
178600062,19/07/86,2,El Port de la Selva,62994634.110,62.995,3.111146,42.240365,3.285994,42.358085
G89002014,02/07/89,2,LLANÇÀ,3112584.189,3.113,3.098432,42.348431,3.131215,42.374783
T89012001,01/03/89,2,LA BISBAL DEL PENEDÀS,934488.143,0.934,1.440962,41.272800,1.460358,41.282331
930800137,28/06/1993,2,Montcada i Reixac,248079.824,0.248,2.206200,41.481789,2.214530,41.489717
2003080322,05/09/03,2,Montcada i Reixach,118401.870,0.118,2.188942,41.469908,2.195204,41.475120
894080,10/04/94,2,Sant Martí Sarroca,4311340.274,4.311,1.579818,41.341982,1.625679,41.377052
2004430090,10/10/04,2,Pontils,145920.605,0.146,1.402889,41.446104,1.410901,41.451610
1998250018,19/02/98,2,La Vall de Boí,381341.973,0.381,0.877067,42.508560,0.891299,42.514004
B0880104,02/08/88,2,Sallent,561796.293,0.562,1.920936,41.833231,1.933750,41.845490
2000250031,27/02/00,2,Fígols i Alinyà,145875.830,0.146,1.458043,42.190273,1.465549,42.195518
934300075,10/07/93,2,El Perelló,9543581.103,9.544,0.652161,40.847195,0.707448,40.890624
2012250165,08/03/12,2,LES VALLS DE VALIRA,1769783.506,1.770,1.472369,42.370575,1.489835,42.393875
438600316,02/09/86,2,Horta de Sant Joan,1881999.845,1.882,0.363985,40.947636,0.385152,40.975834
T91030011,26/07/91,2,la Torre de l'Espanyol,13988180.330,13.988,0.639793,41.167838,0.734440,41.208444
894066,10/04/94,2,Sant Feliu de Llobregat,364597.913,0.365,2.044077,41.401989,2.053066,41.409632
2006080075,02/07/06,2,Argençola,609949.593,0.610,1.427563,41.604054,1.436380,41.619393
2015250083,21/04/15,2,BOSSÒST,750087.775,0.750,0.672525,42.789353,0.695862,42.800929
2002250100,21/06/02,2,Vilanova de l'Aguda,284866.383,0.285,1.267419,41.945012,1.277832,41.953701
4397095,12/10/97,2,Mont-Roig del Camp,202887.846,0.203,0.932473,41.037400,0.940229,41.042849
"L90035002",11/07/90,2,NAVÀS,408274.479,0.408,1.667129,42.015194,1.673883,42.027828
2011250013,26/01/11,2,Vielha e Mijaran,105114.272,0.105,0.809853,42.704688,0.815344,42.708121
2001170143,18/08/01,2,Porqueres,185395.307,0.185,2.736758,42.128554,2.743711,42.134415
1998250043,19/03/98,2,Farrera,199044.427,0.199,1.278682,42.504776,1.286578,42.509497
088600481,29/07/86,2,Sallent,12311444.320,12.311,1.903268,41.836641,1.969072,41.917629
2012170122,09/03/12,2,SANTA CRISTINA D'ARO,3292663.035,3.293,2.925498,41.769064,2.958142,41.812608
2001170058,18/06/01,2,Cadaqués,16988243.710,16.988,3.225458,42.239976,3.285780,42.304578
4394061,07/04/94,2,Roquetes,251649.050,0.252,0.397737,40.784639,0.404155,40.791892
2008430020,01/05/08,2,Montblanc,154197.257,0.154,1.172817,41.390225,1.180319,41.412559
B90006018,02/08/90,2,CASTELLOLÍ,531114.981,0.531,1.697817,41.607374,1.710197,41.616136
4394172,27/07/1994,2,l'Ametlla de Mar,762829.666,0.763,0.816527,40.921244,0.825658,40.941977
4394075,10/04/94,2,Pontils,2616172.604,2.616,1.387263,41.458536,1.428591,41.479850
2001080165,01/07/01,2,Vallbona d'Anoia,522995.715,0.523,1.711526,41.518448,1.720247,41.539180
4394096,04/06/94,2,Paüls,204065.806,0.204,0.437057,40.960636,0.446030,40.965341
4397096,12/10/97,2,Gandesa,210322.044,0.210,0.458172,41.039871,0.465739,41.045708
T89030006,21/07/89,2,TIVISSA,22202068.990,22.202,0.655855,40.990637,0.750616,41.052936
2016250022,19/07/16,2,Vallbona de les Monges,6800928.478,6.801,1.094302,41.514211,1.139256,41.561484
2001250030,22/06/01,2,Camarasa,2214048.915,2.214,0.933961,41.867903,0.958333,41.891800
438600285,06/07/86,2,Querol,28364179.340,28.364,1.474817,41.358252,1.586792,41.420876
2001080162,01/07/01,2,Martorell,312572.810,0.313,1.885878,41.487490,1.898531,41.495803
2011430016,22/02/11,2,Ulldecona,232898.452,0.233,0.457732,40.626220,0.470555,40.633216
2011250017,13/10/11,2,Soriguera,1721063.790,1.721,1.192589,42.373838,1.218923,42.385619
2003080286,12/08/03,2,Jorba,680733.596,0.681,1.497298,41.624062,1.509759,41.635640
2000430128,01/03/00,2,Amposta,383807.302,0.384,0.557518,40.671232,0.569479,40.678870
2000080046,20/02/00,2,Viver i Serrateix,144038.059,0.144,1.814210,41.930594,1.820809,41.935818
2005250161,27/07/05,2,Artesa de Segre,668988.428,0.669,1.085101,41.924415,1.093995,41.940794
L91026006,20/07/91,2,Vall de Cardós,490074.706,0.490,1.209649,42.530378,1.222048,42.542099
2007250057,04/07/07,2,Sanaüja,536114.230,0.536,1.267903,41.857588,1.284104,41.868011
2003170079,13/07/03,2,Caldes de Malavella,556264.505,0.556,2.758353,41.821322,2.765283,41.841140
B90040056,27/07/90,2,CASTELLBISBAL,429720.904,0.430,1.966756,41.488929,1.976043,41.498147
2003430030,30/06/03,2,Calafell,121521.366,0.122,1.589961,41.200746,1.594764,41.205688
2001170076,27/06/01,2,Begur,234898.793,0.235,3.209539,41.926581,3.215563,41.934464
T91008007,07/07/91,2,Vilanova d'Escornalbou,1681661.677,1.682,0.919468,41.093368,0.939394,41.112619
1998430149,25/10/98,2,Flix,170256.299,0.170,0.528373,41.246908,0.539181,41.251369
2003430046,28/07/03,2,Barberà de la Conca,194755.355,0.195,1.234072,41.391750,1.240160,41.398038
4394147,07/07/94,2,Mont-ral,1872864.446,1.873,1.079053,41.290767,1.104497,41.308387
2003430039,12/07/03,2,Senan,720661.405,0.721,1.026238,41.477843,1.045052,41.488190
4394076,10/04/94,2,Tivissa,23636893.350,23.637,0.789777,41.020107,0.906470,41.073890
2015170074,04/06/15,2,CALDES DE MALAVELLA,102733.229,0.103,2.763047,41.831546,2.767869,41.837177
2016080162,22/07/16,2,Olivella,140527.323,0.141,1.795084,41.317788,1.801012,41.323276
2007170092,10/03/07,2,Camprodon,100826.721,0.101,2.427934,42.319024,2.432768,42.323993
894445,14/07/94,2,Montcada i Reixac,4150588.973,4.151,2.199458,41.480043,2.236649,41.508284
2002430070,07/08/02,2,Montblanc,4577057.939,4.577,1.183949,41.322485,1.209993,41.363187
2005430098,13/05/05,2,Bonastre,40085.886,0.040,1.447096,41.238636,1.449184,41.242254
2002430065,30/07/02,2,El Perelló,53219.305,0.053,0.644531,40.847517,0.648415,40.849821
4394032,"21/03/94",2,Vandellós,378847.602,0.379,0.883564,40.965861,0.892625,40.974001
T91030010,31/07/91,2,Tivissa,4461885.526,4.462,0.821769,41.078467,0.869908,41.099752
2014250069,21/06/14,2,Oliola,548819.963,0.549,1.220836,41.902982,1.230953,41.915690
2012080314,12/06/12,2,CASTELLET I LA GORNAL,5889357.082,5.889,1.656143,41.243203,1.708487,41.266232
2003080294,13/08/03,2,Olèrdola,1264707.926,1.265,1.696863,41.299750,1.720545,41.315751
2003255555,01/07/03,2,Torrefeta i Florejacs,3497547.418,3.498,1.274214,41.812645,1.324000,41.830135
2015250082,31/03/15,2,VALL DE CARDÓS,266577.939,0.267,1.219504,42.605116,1.227293,42.614294
2013430119,26/08/13,2,Riba-Roja d'Ebre,175857.416,0.176,0.393202,41.223810,0.403949,41.227171
2009250058,03/07/09,2,Cabanabona,1622985.812,1.623,1.199924,41.825125,1.218449,41.843052
930800371,21/08/1993,2,Sant Fost de Campsentelles,218010.434,0.218,2.251192,41.499668,2.259589,41.505065
2016250044,05/09/16,2,Ribera d'Urgellet,135236.651,0.135,1.352602,42.336128,1.358798,42.343040
2008250086,01/05/08,2,Seròs,123911.339,0.124,0.393917,41.443502,0.401664,41.447032
L89023004,26/06/89,2,LA BARONIA DE RIALB,127085.388,0.127,1.211052,42.022047,1.214486,42.028588
2004170040,25/07/04,2,Biure,242996.569,0.243,2.905669,42.341204,2.913805,42.347059
2015430117,24/08/15,2,L'AMETLLA DE MAR,452252.357,0.452,0.826210,40.932492,0.842056,40.940774
2001080092,29/05/01,2,Castelldefels,526237.151,0.526,1.955919,41.282311,1.967859,41.292936
922500018,23/02/92,2,La Guingueta d'Àneu,157089.134,0.157,1.155490,42.606578,1.168086,42.610286
1998430147,20/10/98,2,Ulldecona,3710885.575,3.711,0.513034,40.607513,0.549520,40.632805
2006250035,01/07/06,2,Riner,577981.530,0.578,1.578168,41.893492,1.593203,41.902139
B90040022,09/10/90,2,MONTCADA I REIXAC,80813.570,0.081,2.195141,41.477907,2.200276,41.482610
2005080231,08/07/05,2,Cardona,11294171.580,11.294,1.713299,41.891093,1.757904,41.954802
894221,02/07/94,2,Subirats,829879.107,0.830,1.846788,41.387435,1.866879,41.396027
2004250003,05/02/04,2,Naut Aran,323557.168,0.324,0.828894,42.704423,0.841228,42.712116
2012170119,14/08/12,2,VILOPRIU,153135.336,0.153,2.996664,42.114791,3.003258,42.121269
2594161,23/08/94,2,La Baronia de Rialb,98285.592,0.098,1.182233,42.033054,1.186479,42.036899
438600244,18/04/86,2,Tortosa,1789509.250,1.790,0.593869,40.845126,0.615896,40.864462
178600066,19/07/86,2,Avinyonet de Puigventós,1015241.538,1.015,2.927031,42.247950,2.939470,42.265060
2003080211,19/07/03,2,Talamanca,1624110.829,1.624,1.974736,41.742095,1.994933,41.758531
2016430004,06/01/16,2,Albinyana,154495.156,0.154,1.466692,41.225926,1.475883,41.231390
4395148,25/06/95,2,Sant Jaume dels Domenys,8285088.459,8.285,1.466764,41.288008,1.523942,41.326903
896056,24/07/96,2,Sallent,129016.721,0.129,1.936999,41.886481,1.945453,41.889624
2005430087,30/04/05,2,Godall,114571.875,0.115,0.494116,40.675819,0.498271,40.681014
B89007007,27/06/89,2,TALAMANCA,154079.264,0.154,1.927873,41.726568,1.933591,41.730856
T89001005,25/07/89,2,AIGUAMÚRCIA,2107634.577,2.108,1.398515,41.372412,1.418357,41.394535
2009250098,02/07/09,2,Vilanova de l'Aguda,458925.721,0.459,1.266630,41.899679,1.278819,41.910380
T91030006,22/07/91,2,Vinebre,2541232.246,2.541,0.659286,41.234698,0.697477,41.264335
2009250100,02/07/09,2,Nalec,286406.529,0.286,1.117139,41.554195,1.128370,41.565218
T89037006,22/06/89,2,PRAT DE COMTE,9426983.324,9.427,0.444951,40.956168,0.496941,40.993687
894405,22/08/94,2,Olesa de Montserrat,413115.231,0.413,1.905247,41.536806,1.915320,41.544932
4394091,05/05/94,2,Alforja,154163.251,0.154,0.971560,41.193824,0.977467,41.198791
1999430010,10/02/99,2,Tortosa,713273.905,0.713,0.599587,40.839334,0.617799,40.849927
B89017012,17/07/89,2,OLIVELLA,160989.287,0.161,1.756536,41.302846,1.764320,41.308713
931700040,20/07/93,2,Roses,418472.502,0.418,3.210977,42.236187,3.220431,42.244843
2001250055,01/08/01,2,Vinaixa,1046827.553,1.047,0.954320,41.457547,0.978882,41.478786
2015080224,01/07/15,2,BARCELONA,201614.697,0.202,2.146658,41.441704,2.153048,41.448139
2006080048,23/06/06,2,Sant Antoni de Vilamajor,155984.298,0.156,2.416659,41.661937,2.421472,41.668249
G91034012,30/06/91,2,Maçanet de la Selva,197331.296,0.197,2.765832,41.745943,2.770332,41.754280
924300106,12/11/92,2,El Perelló,316190.914,0.316,0.696347,40.908685,0.705941,40.914761
T89030005,21/07/89,2,ASCÓ,1955250.311,1.955,0.586118,41.136866,0.620362,41.157220
438600291,16/07/86,2,Aiguamúrcia,1093966.228,1.094,1.401242,41.354168,1.432426,41.363471
438600293,18/07/86,2,Ulldecona,3143859.084,3.144,0.503554,40.590738,0.537465,40.624652
2010430093,30/07/10,2,Tarragona,1075406.667,1.075,1.328799,41.137704,1.341785,41.157371
2009170156,20/06/09,2,Pals,212612.119,0.213,3.153127,41.958424,3.157890,41.967148
2006170122,04/08/06,2,Ventalló,9610689.657,9.611,3.027667,42.085141,3.067252,42.142335
4394084,14/04/94,2,Ulldecona,312421.733,0.312,0.482629,40.577557,0.490370,40.588601
2003080257,07/08/03,2,Copons,425844.142,0.426,1.482254,41.637799,1.496374,41.643920
2594037,01/04/94,2,Coll de Nargó,254788.311,0.255,1.256445,42.159760,1.265285,42.165800
2008250043,27/01/08,2,Bausen,1591497.728,1.591,0.682737,42.836105,0.709492,42.847612
T91008013,08/08/91,2,L'Aleixar,3838723.486,3.839,1.079629,41.201940,1.119307,41.225799
"1796147",10/11/96,2,Llançà,373256.890,0.373,3.138602,42.369296,3.149848,42.376950
2012250164,21/06/12,2,SANT GUIM DE FREIXENET,1037229.811,1.037,1.393703,41.649668,1.421142,41.659614
894059,09/04/94,2,Olivella,44669586.000,44.670,1.798555,41.242601,1.926310,41.326814
2009080286,24/07/09,2,Pujalt,838497.233,0.838,1.419982,41.683078,1.457283,41.689244
T90012014,18/07/90,2,EL VENDRELL,101472.373,0.101,1.493073,41.185180,1.496952,41.189919
4394237,19/09/94,2,Mas de Barberans,1156186.533,1.156,0.336007,40.710655,0.361887,40.729675
088600568,16/08/86,2,Collbató,1544151.724,1.544,1.822718,41.573385,1.852135,41.593476
438600284,06/07/86,2,Vilaverd,32525993.440,32.526,1.103684,41.275735,1.205360,41.364007
2005080191,19/06/05,2,La Palma de Cervelló,83316.116,0.083,1.958917,41.408291,1.966675,41.411275
894324,31/07/94,2,Avinyó,349929.722,0.350,1.982254,41.880110,1.991913,41.890723
2004080134,20/08/04,2,Sant Vicenç de Castellet,169611.778,0.170,1.863745,41.672946,1.874731,41.676237
2010250091,05/04/10,2,Albesa,176487.615,0.176,0.613781,41.770906,0.620659,41.778705
4395051,13/04/95,2,Vendrell,412197.710,0.412,1.475595,41.201473,1.495035,41.208388
934300082,16/07/93,2,La Palma d'Ebre,9357065.270,9.357,0.674613,41.295381,0.720066,41.341941
1998250143,19/07/98,2,Talarn,306051.315,0.306,0.920989,42.188883,0.927602,42.199678
1999430061,04/04/99,2,Montblanc,321248.657,0.321,1.185834,41.347883,1.192661,41.360507
